role,full_name,username,email,password,department,program,roll_no,semester
student,AKSHAY SINGH,20261cse0001,20261cse0001@college.edu,20261cse0001@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0001,1
student,CHHAYA BANERJEE,20261cse0002,20261cse0002@college.edu,20261cse0002@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0002,1
student,AARAV SHARMA,20261cse0003,20261cse0003@college.edu,20261cse0003@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0003,1
student,CHETAN MAHESHWARI,20261cse0004,20261cse0004@college.edu,20261cse0004@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0004,1
student,BHAVNA REDDY,20261cse0005,20261cse0005@college.edu,20261cse0005@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0005,1
student,DEEP SHARMA,20261cse0006,20261cse0006@college.edu,20261cse0006@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0006,1
student,CHARVI PATEL,20261cse0007,20261cse0007@college.edu,20261cse0007@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0007,1
student,BHUVANESH VERMA,20261cse0008,20261cse0008@college.edu,20261cse0008@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0008,1
student,AKSHAY SINGH,20261cse0009,20261cse0009@college.edu,20261cse0009@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0009,1
student,BIANCA DESAI,20261cse0010,20261cse0010@college.edu,20261cse0010@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0010,1
student,DEEP SHARMA,20261cse0011,20261cse0011@college.edu,20261cse0011@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0011,1
student,ESWAR NAIR,20261cse0012,20261cse0012@college.edu,20261cse0012@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0012,1
student,CHIRAG MALHOTRA,20261cse0013,20261cse0013@college.edu,20261cse0013@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0013,1
student,DEEP SHARMA,20261cse0014,20261cse0014@college.edu,20261cse0014@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0014,1
student,BIANCA DESAI,20261cse0015,20261cse0015@college.edu,20261cse0015@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0015,1
student,CHETAN MAHESHWARI,20261cse0016,20261cse0016@college.edu,20261cse0016@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0016,1
student,EKTA SINHA,20261cse0017,20261cse0017@college.edu,20261cse0017@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0017,1
student,DEEP SHARMA,20261cse0018,20261cse0018@college.edu,20261cse0018@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0018,1
student,CHIRAG MALHOTRA,20261cse0019,20261cse0019@college.edu,20261cse0019@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0019,1
student,CHIRAG MALHOTRA,20261cse0020,20261cse0020@college.edu,20261cse0020@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0020,1
student,EMRAN KHAN,20261cse0021,20261cse0021@college.edu,20261cse0021@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0021,1
student,ARJUN KUMAR,20261cse0022,20261cse0022@college.edu,20261cse0022@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0022,1
student,BHAVNA REDDY,20261cse0023,20261cse0023@college.edu,20261cse0023@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0023,1
student,EKTA SINHA,20261cse0024,20261cse0024@college.edu,20261cse0024@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0024,1
student,EKTA SINHA,20261cse0025,20261cse0025@college.edu,20261cse0025@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0025,1
student,CHIRAG MALHOTRA,20261cse0026,20261cse0026@college.edu,20261cse0026@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0026,1
student,EKTA SINHA,20261cse0027,20261cse0027@college.edu,20261cse0027@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0027,1
student,AKSHAY SINGH,20261cse0028,20261cse0028@college.edu,20261cse0028@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0028,1
student,CHIRAG MALHOTRA,20261cse0029,20261cse0029@college.edu,20261cse0029@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0029,1
student,AISHA PATEL,20261cse0030,20261cse0030@college.edu,20261cse0030@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0030,1
student,CHANDNI SHARMA,20261cse0031,20261cse0031@college.edu,20261cse0031@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0031,1
student,EKTA SINHA,20261cse0032,20261cse0032@college.edu,20261cse0032@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0032,1
student,DARSHAN REDDY,20261cse0033,20261cse0033@college.edu,20261cse0033@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0033,1
student,ESHA VERMA,20261cse0034,20261cse0034@college.edu,20261cse0034@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0034,1
student,DEVANSH TIWARI,20261cse0035,20261cse0035@college.edu,20261cse0035@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0035,1
student,CHHAYA BANERJEE,20261cse0036,20261cse0036@college.edu,20261cse0036@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0036,1
student,DIYA CHOPRA,20261cse0037,20261cse0037@college.edu,20261cse0037@123,COMPUTER SCIENCE & ENGINEERING,CSE,20261cse0037,1
