SLOT_ID,DEPARTMENT,PROGRAM,SEMESTER,CLASS,DAY,START_TIME,END_TIME,DURATION_HOURS,SLOT_TYPE,COURSE,FACULTY_ID,FACULTY_NAME,ROOM
0001,CSE,CSE,1,A,Monday,08:00,09:00,1,THEORY,Data Structures,PUC26CSE001,ARJUN KUMAR,T001
0002,CSE,CSE,1,A,Monday,09:00,10:00,1,THEORY,Algorithms,PUC26CSE002,DARSHAN REDDY,T002
0003,CSE,CSE,1,A,Monday,10:00,11:00,1,THEORY,Web Development,PUC26CSE003,CHARVI PATEL,T003
0004,CSE,CSE,1,A,Monday,08:00,10:00,2,LAB,Cloud Computing,PUC26CSE004,DALIT KUMAR,L004
0005,CSE,CSE,1,A,Monday,09:00,11:00,2,LAB,AI & ML,PUC26CSE005,AKSHAY SINGH,L005
0006,CSE,CSE,1,B,Monday,08:00,09:00,1,THEORY,Cybersecurity,PUC26CSE006,ANANYA GUPTA,T006
0007,CSE,CSE,1,B,Monday,09:00,10:00,1,THEORY,IoT,PUC26CSE007,DARSHAN REDDY,T007
0008,CSE,CSE,1,B,Monday,10:00,11:00,1,THEORY,Databases,PUC26CSE008,CHANDNI SHARMA,T008
0009,CSE,CSE,1,B,Monday,08:00,10:00,2,LAB,OS,PUC26CSE009,DEEP SHARMA,L009
0010,CSE,CSE,1,B,Monday,09:00,11:00,2,LAB,Networking,PUC26CSE010,CHETAN MAHESHWARI,L010
0011,CSE,CSE,1,C,Monday,08:00,09:00,1,THEORY,Statistics,PUC26CSE011,EDEN PATEL,T011
0012,CSE,CSE,1,C,Monday,09:00,10:00,1,THEORY,Machine Learning,PUC26CSE012,CHETAN MAHESHWARI,T012
0013,CSE,CSE,1,C,Monday,10:00,11:00,1,THEORY,Deep Learning,PUC26ADS001,BALAJI NAIR,T013
0014,CSE,CSE,1,C,Monday,08:00,10:00,2,LAB,Circuit Analysis,PUC26ADS002,ESWAR NAIR,L014
0015,CSE,CSE,1,C,Monday,09:00,11:00,2,LAB,Power Systems,PUC26ADS003,ARJUN KUMAR,L015
0016,CSE,CSE,2,A,Monday,08:00,09:00,1,THEORY,Digital Design,PUC26ADS004,CHIRAG MALHOTRA,T016
0017,CSE,CSE,2,A,Monday,09:00,10:00,1,THEORY,Thermodynamics,PUC26ADS005,DEVANSH TIWARI,T017
0018,CSE,CSE,2,A,Monday,10:00,11:00,1,THEORY,Mechanics,PUC26ADS006,BOOM BABU,T018
0019,CSE,CSE,2,A,Monday,08:00,10:00,2,LAB,Structural Analysis,PUC26ADS007,CHHAYA BANERJEE,L019
0020,CSE,CSE,2,A,Monday,09:00,11:00,2,LAB,Concrete Technology,PUC26ECE001,ARYAN DESAI,L020
0021,CSE,CSE,2,B,Monday,08:00,09:00,1,THEORY,VLSI Design,PUC26ECE002,BHANU PRAKASH,T021
